ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,DIRECTION_NAME_ALT,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP,TRAVEL_DIRECTION,TIMEPOINT,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_SEGMENT_MILES,AVG_PASSENGER_MILES,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,MAX_LOAD_P,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,AVG_SERVICED,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,Latitude,Longitude,SUM_TRAFFIC_PRIORITY,LAT_ACTUAL,LON_ACTUAL,LOAD_DURATION_ALT,LOAD_DURATION,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,ACTUAL_DIST
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,150,100019,49thAng,X,-1,,,,,0.5424516129,,,0,0,30,3,11,0.34375,0,0,0,0,0,0,4720,518,,0,0,0,0,0,0,0,10,0,32,123,34.991287,-85.304956,0,34.99175419,-85.30553597,0,0,0.794,,156,156,243
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,160,90,ANGELA/49TH,N,0,,,,,0.02580645161,0.1210056,0.2477394134,0,0,30,3,11,0.34375,0,0,0,0.115,11,15,4720,514,62.1968784,0,11,8,0,8,0,0,10,0,0,0,34.991247,-85.304968,0,34.99126693,-85.30498424,0,0,0,,156,156,9
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,170,1486,49TH/JEFFERY,W,0,,,,,0.05625806452,0.0566928,0.1117788462,0,0,30,3,11,0.34375,0,0,0,0.41,55,74,4720,495,28.062936,2,54,49,1,27,0,0,10,0,0,0,34.991815,-85.305763,0,34.99185133,-85.30589057,0,0,0,,156,156,40
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,180,1899,49TH/715,W,0,,,,,0.06083870968,0.1591056,0.3251092657,0,0,30,3,11,0.34375,0,0,0,0.307,46,28,4720,513,81.6211728,1,46,23,0,5,0,0,10,0,0,0,34.99199,-85.30632,0,34.99200748,-85.30637235,0,0,0,,156,156,17
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,190,148,49TH/WILSON,N,0,,,,,0.01812903226,0.0859536,0.1763184732,0,0,30,3,11,0.34375,0,0,0,0.07,10,8,4720,515,44.266104,0,10,5,0,1,0,0,10,0,0,0,34.992518,-85.30775,0,34.99252185,-85.30774448,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,200,1731,WILSON/48TH,N,0,,,,,0.1597402597,0.0905256,0.1975961538,0,0,30,3,12,0.375,0,0,0,0.288,60,27,4720,548,49.6080288,4,60,22,0,6,0,0,11,0,0,0,34.993198,-85.307528,0,34.99335456,-85.30745931,0,0,0,,156,156,61
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,210,1797,WILSON/HOOKER RD,N,0,,,,,0.1479354839,0.21336,0.4852612665,0,0,30,3,12,0.375,0,0,0,0.173,35,12,4720,571,121.82856,4,35,9,0,3,0,0,12,0,0,0,34.993948,-85.307147,0,34.99394527,-85.30715446,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,220,150,WILSON/WORKMANS,N,0,,,,,0,0.56388,1.284722222,0,0,30,3,12,0.375,0,0,0,0.012,2,1,4720,572,322.53936,0,2,1,0,0,0,0,12,0,0,0,34.99567,-85.306162,0,34.99567,-85.30616,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,230,151,WORKMANS/FAGAN,W,0,,,,,0.004026845638,0.1091184,0.2555652681,0,0,30,3,12,0.375,0,0,0,0.096,19,3,4720,588,64.1616192,0,19,0,0,3,0,0,12,0,0,0,34.997878,-85.31166,0,34.99787964,-85.31166488,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,240,152,WORKMANS/DORRIS,W,0,,,,,0.2390322581,0.158496,0.3768939394,0,0,30,3,12,0.375,0,0,0,0.051,9,0,4720,597,94.622112,0,9,0,0,0,0,0,12,0,0,0,34.998288,-85.312742,0,34.99828813,-85.31274944,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,250,100,CENTRAL/WORKMANS,N,0,,,,,0,0.1548384,0.3644959207,0,0,30,3,12,0.375,0,0,0,0.025,2,8,4720,591,91.5094944,2,2,7,0,4,0,0,12,0,0,0,34.998713,-85.314267,0,34.998714,-85.31427,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,260,101,CENTRAL/45TH,N,0,,,,,0,0.256032,0.6027097902,0,0,30,3,12,0.375,0,0,0,0,0,0,4720,591,151.314912,0,0,0,0,0,0,0,12,0,0,0,34.999948,-85.3136,0,34.999947,-85.313599,0,0,0,,156,156,0
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,270,102,CENTRAL/42ND,N,0,,,,,0,0.216408,0.5094332751,0,0,30,3,12,0.375,0,0,0,0,0,0,4720,591,127.897128,0,0,0,0,0,0,0,12,0,0,0,35.002018,-85.31244,0,35.002018,-85.312439,0,0,0,,156,156,0
